track_name,artist_name,track_popularity,year,name,playcount,listeners,genres,artist_popularity,album_name,release_date,duration_ms,track_listeners
Love it,Younite,99,2023,Younite,1212340,33859,"['k-pop', 'Korean', 'pop', 'boybands', 'korean music']",1212340,BIT Part.2,N/A,202000,7081
Missio,Bess,88,2023,Bess,1364240,37698,"['finnish', 'pop', 'finland', 'dance', 'Hip-Hop']",1364240,Missio,N/A,159000,7740
Satama,KUUMAA,28,2023,KUUMAA,3716352,33363,"['finnish', 'pop', 'male vocalists', 'finland', 'kuumaa']",3716352,Satama,N/A,160000,10506
Tell Me Why,Gotts Street Park,56,2023,Gotts Street Park,4652262,480190,"['soul', 'jazz', 'indie pop', 'funk', 'funk_add_to_lidarr_batch_11']",4652262,N/A,N/A,0,310100
Video Game,HeeJin,48,2023,HeeJin,5180379,102539,"['Loona', 'Korean', 'artms', 'k-pop', 'Kpop']",5180379,<K>,N/A,187000,56631
Addiction,HeeJin,81,2023,HeeJin,5180379,102539,"['Loona', 'Korean', 'artms', 'k-pop', 'Kpop']",5180379,K,N/A,159000,39929
If You Don't Want My Love,Jalen Ngonda,16,2023,Jalen Ngonda,5497665,605799,"['soul', 'rnb', 'USA', 'reggae', 'daptone']",5497665,If You Don't Want My Love,N/A,147000,555620
KNOCK,LEE CHAE YEON,96,2023,LEE CHAE YEON,5516724,248490,"['k-pop', 'Korean', 'Kpop', 'izone', 'pop']",5516724,Over The Moon,N/A,174000,199639
MACARONI CHEESE,YOUNG POSSE,34,2023,YOUNG POSSE,7197289,167651,"['k-pop', 'Korean', 'Hip-Hop', 'Kpop', 'DSP Media']",7197289,MACARONI CHEESE,N/A,145000,59352
OTB,YOUNG POSSE,72,2023,YOUNG POSSE,7197289,167651,"['k-pop', 'Korean', 'Hip-Hop', 'Kpop', 'DSP Media']",7197289,MACARONI CHEESE,N/A,168000,23253
POSSE UP!,YOUNG POSSE,23,2023,YOUNG POSSE,7197289,167651,"['k-pop', 'Korean', 'Hip-Hop', 'Kpop', 'DSP Media']",7197289,MACARONI CHEESE,N/A,138000,48445
Back In Love,Leisure,100,2023,Leisure,7387107,513878,"['indie pop', 'indie', 'electronic', 'downtempo', 'New Zealand']",7387107,Back In Love,N/A,281000,24561
Above Me,Leisure,86,2023,Leisure,7387107,513878,"['indie pop', 'indie', 'electronic', 'downtempo', 'New Zealand']",7387107,Above Me,N/A,214000,35028
All The Good Times Never Die,Leisure,90,2023,Leisure,7387107,513878,"['indie pop', 'indie', 'electronic', 'downtempo', 'New Zealand']",7387107,N/A,N/A,0,20273
Always,Leisure,95,2023,Leisure,7387107,513878,"['indie pop', 'indie', 'electronic', 'downtempo', 'New Zealand']",7387107,Always,N/A,207000,19953
Made For Me,Muni Long,31,2023,Muni Long,8446832,557959,"['rnb', 'soul', 'rap', 'pop', 'indie rnb']",8446832,Made For Me,N/A,188000,264102
love you twice,HUH YUNJIN,60,2023,HUH YUNJIN,8601264,290306,"['k-pop', 'LE SSERAFIM', 'Kpop', 'pop', 'huh yunjin']",8601264,love you twice,N/A,172000,193480
Religiously,Bailey Zimmerman,52,2023,Bailey Zimmerman,8632835,279190,"['country', 'contemporary country', 'rock', 'singer-songwriter', 'USA']",8632835,Religiously. The Album.,N/A,178000,101180
The Painter,Cody Johnson,30,2023,Cody Johnson,8855552,262164,"['country', 'USA', 'texas', 'United States', 'american']",8855552,The Painter,N/A,211000,80149
Stamp On It,GOT the beat,44,2023,GOT the beat,11347743,364806,"['k-pop', 'Kpop', 'Korean', 'pop', 'red velvet']",11347743,Stamp On It,N/A,232000,197861
Perfume,NCT DOJAEJUNG,26,2023,NCT DOJAEJUNG,11774255,257005,"['k-pop', 'NCT', 'sexy', 'Korean', 'electro-funk']",11774255,Perfume,N/A,167000,242610
Groovy,CRAVITY,84,2023,CRAVITY,12700292,166596,"['k-pop', 'Kpop', 'Korean', 'pop', 'Hip-Hop']",12700292,MASTER : PIECE,N/A,202000,42489
Queencard,i-dle,64,2023,i-dle,15909899,475522,"['k-pop', 'Korean', 'i-dle', 'GIDLE', 'cube entertainment']",15909899,i feel,N/A,0,207012
toxic,Noname,33,2023,Noname,17797848,572338,"['Hip-Hop', 'rap', 'hip hop', 'Ghetto Sage', 'jazz rap']",17797848,Sundial,N/A,194000,33953
Marshmallow,MISAMO,43,2023,MISAMO,18378221,333438,"['j-pop', 'japanese', 'twice', 'sana', 'mina']",18378221,MISAMO,N/A,182000,118523
Behind The Curtain,MISAMO,73,2023,MISAMO,18378221,333438,"['j-pop', 'japanese', 'twice', 'sana', 'mina']",18378221,MISAMO,N/A,178000,60832
Sweet Juice,PURPLE KISS,21,2023,PURPLE KISS,18983073,271016,"['k-pop', 'Kpop', 'Korean', 'pop', 'girl group']",18983073,Cabin Fever,N/A,192000,131068
Sensitive,Loossemble,76,2023,Loossemble,20519658,267327,"['Loona', 'k-pop', 'Kpop', 'Korean', 'girl group']",20519658,LOOSSEMBLE,N/A,185000,114428
Ghost,Sigrid,94,2023,Sigrid,20803710,653738,"['pop', 'norwegian', 'synthpop', 'electropop', 'electronic']",20803710,Ghost,N/A,213000,17084
The Hype,Sigrid,22,2023,Sigrid,20803710,653738,"['pop', 'norwegian', 'synthpop', 'electropop', 'electronic']",20803710,The Hype,N/A,214000,28733
Younger & Dumber,Indigo De Souza,55,2023,Indigo De Souza,21320316,662043,"['indie rock', 'indie pop', 'singer-songwriter', 'indie', 'North Carolina']",21320316,Younger & Dumber,N/A,279000,75760
EUNOIA,Billlie,15,2023,Billlie,23632790,318912,"['k-pop', 'Korean', 'Kpop', 'pop', 'girl group']",23632790,the Billage of perception : chapter three,N/A,204000,115869
Nothing Left To Lose,Everything But the Girl,91,2023,Everything But the Girl,23673330,1418862,"['electronic', 'trip-hop', 'chillout', 'female vocalists', 'electronica']",23673330,Fuse,N/A,224000,57010
Drowning,WOODZ,97,2023,WOODZ,23910115,336173,"['k-pop', 'rock', 'Korean', 'rnb', 'k-rnb']",23910115,OO-LI,N/A,244000,100679
Back To Me,The Rose,62,2023,The Rose,24488666,460124,"['rock', 'indie rock', 'k-rock', 'indie', 'Korean']",24488666,Back To Me / Alive,N/A,224000,171707
You Only Love Me,Rita Ora,71,2023,Rita Ora,28708778,1321646,"['pop', 'dance', 'female vocalists', 'rnb', 'british']",28708778,You Only Love Me,N/A,148000,79176
DIE 4 YOU,Dean,92,2023,Dean,32679076,678922,"['rnb', 'Korean', 'k-rnb', 'soul', 'krnb']",32679076,DIE 4 YOU,N/A,194000,194950
BATTER UP,BABYMONSTER,19,2023,BABYMONSTER,33096613,513363,[],33096613,BATTER UP,N/A,188000,256127
SLAY,Everglow,38,2023,Everglow,35914985,641505,"['k-pop', 'Korean', 'Kpop', 'pop', 'girl group']",35914985,ALL MY GIRLS,N/A,220000,107608
Heart Wants What It Wants,Bebe Rexha,54,2023,Bebe Rexha,37160436,1434248,"['pop', 'female vocalists', 'electronic', 'singer-songwriter', 'alternative']",37160436,Heart Wants What It Wants,N/A,182000,68091
One In A Million,Bebe Rexha,65,2023,Bebe Rexha,37160436,1434248,"['pop', 'female vocalists', 'electronic', 'singer-songwriter', 'alternative']",37160436,One In A Million,N/A,160000,118884
jamcod,The Jesus and Mary Chain,100,2023,The Jesus and Mary Chain,39994312,1316125,"['shoegaze', 'post-punk', 'alternative', 'indie', 'rock']",39994312,jamcod,N/A,237000,22649
Fast Car,Luke Combs,44,2023,Luke Combs,40124465,780328,"['country', 'country pop', 'contemporary country', 'americana', 'country rock']",40124465,Gettin' Old,N/A,265000,344814
Poppin' Love,WayV,8,2023,WayV,42640811,537466,"['C-pop', 'NCT', 'k-pop', 'chinese', 'cpop']",42640811,N/A,N/A,185000,89038
Stuck,Thirty Seconds to Mars,68,2023,Thirty Seconds to Mars,42830176,1535087,[],42830176,Stuck,N/A,182000,127779
Rover,Kai,85,2023,Kai,43258487,699824,"['exo', 'rnb', 'Kpop', 'k-pop', 'pop']",43258487,Rover,N/A,174000,395627
FLOWER,JISOO,51,2023,JISOO,44824598,619846,"['k-pop', 'pop', 'Korean', 'blackpink', 'BLISSOO']",44824598,ME,N/A,174000,396589
In Spite of War,Yves Tumor,80,2023,Yves Tumor,47362161,1036866,"['Neo-Psychedelia', 'ambient', 'experimental', 'hypnagogic pop', 'art rock']",47362161,Praise A Lord Who Chews But Which Does Not Consume; (Or Simply: Hot Between Worlds),N/A,151000,84728
Lipstick Lover,Janelle Monáe,29,2023,Janelle Monáe,50819064,1230900,"['soul', 'rnb', 'female vocalists', 'alternative', 'funk']",50819064,The Age of Pleasure,N/A,169000,127090
